,pair1,pair2,corr_value,count
1,(polynomial),(binomial),1,20
12,any),(if,1,35
85,division,(if,0.867042278,35
86,division,any),0.867042278,35
116,expression,(binomial),0.838827969,20
117,expression,(polynomial),0.838827969,20
140,form,factored,0.703351541,10
148,function,f(x),0.870697186,26
364,multiplicity,indicate,0.77560511,10
372,name,according,0.87566328,10
578,quotient,(if,0.920915382,35
579,quotient,any),0.920915382,35
580,quotient,division,0.796739854,35
608,remainder,divided,0.705481291,65
659,root,rational,0.81788329,20
772,series,geometric,0.724901205,21
809,specified,sequences,0.742190985,10
810,square,perfect,0.846619177,11
852,synthetic,division,0.758238834,27
864,terms,sum,0.706109165,59
1038,width,length,0.881114088,11
1099,zero,indicate,0.706664862,10
1100,zeros,f(x),0.870697186,26
1101,zeros,function,1,26
