,remove_words
0,(l)
1,(polynomial)
2,(w)
3,add(mul(integer((d))pow(symbol(x)integer((d))))symbol(x)mul(integer(-(d))mul(integer((d))integer((d))pow(mul(integer((d))symbol(x))mul(integer((d))pow(integer((d))integer(-(d))))))))
4,add(mul(integer(-(d))integer((d))pow(integer((d))mul(integer((d))pow(integer((d))integer(-(d))))))integer((d)))
5,add(symbol(x)mul(integer(-(d))mul(integer((d))integer((d))symbol(x))))
6,add(symbol(x)symbol(x))
7,advised
8,allowance
9,answered
10,any)
11,asked
12,bank
13,blank
14,box
15,buy
16,cardboard
17,centimeter
18,centimeters
19,chain
20,christmas
21,classmate
22,classroom
23,closely
24,cm
25,composed
26,consider
27,constant
28,construction
29,contains
30,continue
31,continued
32,corner
33,correct
34,costs
35,crew
36,cruz
37,cubes
38,daily
39,december
40,decimal
41,deposits
42,describes
43,description
44,dimension
45,dimensions
46,dimesnions
47,dish
48,distance
49,div
50,division
51,doubled
52,doubles
53,dropped
54,earn
55,earns
56,easily
57,enlarged
58,er
59,evaluate
60,exercise
61,exponnts
62,expression
63,expressions
64,factoring
65,fall
66,fallen
67,falls
68,far
69,farmers
70,field
71,fifth
72,final
73,finding
74,fits
75,form
76,friedrich
77,fun
78,function
79,g(x)
80,game
81,garden
82,gauss
83,gets
84,ground
85,group
86,growth
87,h(x)
88,hall
89,height
90,high
91,highest
92,homework
93,hour
94,hours
95,impasugong
96,income
97,increase
98,increased
99,inequality
100,infinity
101,inside
102,introduced
103,jane
104,january
105,job
106,joey
107,jose
108,jump
109,jumped
110,jumps
111,karl
112,kilometer
113,know
114,kth
115,la
116,layer
117,leading
118,leaves
119,left(x-(d)
120,like
121,linear
122,lita
123,logs
124,lowest
125,madison
126,manages
127,mary
128,mathematical
129,mathematician
130,mathematicians
131,meet
132,metal
133,meters
134,miles
135,min
136,mirasol
137,money
138,monomials
139,month
140,monthly
141,months
142,morning
143,mother
144,mr
145,mrs
146,mul(integer((d))pow(mul(integer((d))symbol(x))integer(-(d))))
147,mul(integer((d))symbol(x)pow(symbol(x)integer((d))))
148,mul(pow(add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))symbol(x))mul(integer(-(d))integer((d))))integer(-(d)))add(mul(integer((d))pow(symbol(x)integer((d))))pow(symbol(x)integer((d)))mul(integer(-(d))mul(integer((d))integer((d))symbol(x)))mul(integer(-(d))integer((d)))))
149,mul(pow(function(x)(symbol(x))integer(-(d)))function(x)(symbol(x)))
150,mul(pow(symbol(x)integer((d)))add(symbol(x)integer((d))))
151,mul(pow(symbol(x)integer(-(d)))symbol(x))
152,mul(symbol(x)pow(symbol(x)integer((d))))
153,mul(symbol(x)pow(symbol(x)integer(-(d))))
154,multiplicity
155,multiply
156,municipal
157,national
158,negative
159,new
160,nhs
161,november
162,numerical
163,object
164,obtained
165,odd
166,opalla
167,open
168,operation
169,order
170,original
171,party
172,passenger
173,pays
174,pedro
175,people
176,peso
177,pesos
178,peter
179,petri
180,philippine
181,physician
182,piled
183,places
184,plane
185,planning
186,playing
187,pow(add(pow(symbol(x)integer((d)))mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))mul(integer((d))integer((d))symbol(x))))mul(integer((d))pow(integer((d))integer(-(d)))))
188,power
189,precedes
190,preceding
191,present
192,previous
193,prism
194,problem
195,process
196,property
197,provides
198,provincial
199,q(x)+r(x)/d(x)
200,quadratic
201,quotient
202,raise
203,rate
204,rebounds
205,recall
206,receive
207,receives
208,rectangle
209,related
210,relationship
211,remainder
212,remains
213,removing
214,representative
215,representthe
216,result
217,resulting
218,reverse
219,rico
220,right)
221,rise
222,rocket
223,root
224,round
225,row
226,rows
227,run
228,running
229,s
230,s_{
231,salary
232,save
233,saved
234,saves
235,saving
236,savings
237,says
238,school
239,season
240,seat
241,seats
242,seconds
243,sentence
244,sequence-(d)-(d)
245,series
246,service
247,set
248,shoes
249,sin
250,sky
251,solid
252,specified
253,square
254,stacking
255,started
256,startegies
257,starts
258,stops
259,strikes
260,subtract
261,subtracts
262,succeeding
263,successive
264,synthetic
265,taxi
266,technique
267,ter
268,terms
269,text{cm}
270,time
271,times
272,today
273,token
274,tokens
275,tossed
276,total
277,track
278,training
279,traveled
280,twice
281,u
282,unit
283,units
284,upper
285,uppermost
286,used
287,video
288,viral
289,volume
290,walk
291,walked
292,watching
293,weekly
294,width
295,working
296,works
297,worth
298,yaya
299,year
300,yearly
301,years
302,zero
303,zeros
